name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
👒HÀNG LOẠI 1👒BALO DA PU CAO CẤP D8535👒BALO DA THỜI TRANG NAM CÓ NGĂN RỘNG RÃI	Hà Nội	1595058453	1609994498	14936045	True	45%	False	2	False	0.0	0	0	0	0	0	None	None	20700000000	37600000000	20700000000	37600000000	20700000000	37600000000	None	0	122	0	False	False	9	1	0
Túi xách đeo chéo bằng da ngựa thời trang nam chất lượng	Nước ngoài	1598335621	1609994498	11658877	False	32%	False	2	False	0.0	0	0	0	0	0	None	None	39000000000	57620000000	39000000000	57620000000	39000000000	57620000000	None	0	5	0	False	False	9	0	0
HÀNG NHẬP KHẨU -  (HÀNG CÓ SẴN SỐ LƯỢNG LỚN)Balo thời trang nam dáng thể thao phong cách game thủ TRIPLE X - Hàng Nhập K	Hưng Yên	1607843638	1609994498	2150860	False	None	False	3	False	0.0	0	0	0	0	0	None	None	90000000000	-1	90000000000	-1	90000000000	0	None	0	7	0	False	False	9	0	0
Balo Thời Trang Nam Kiểu Dáng Hàn Quốc E3016	Hà Nội	1578217196	1609994498	31777302	False	18%	False	1	False	5.0	39	0	0	0	0	None	None	27000000000	32900000000	27000000000	32900000000	27000000000	32900000000	None	131	223	39	False	True	9	1	62
Balo Nam vải Nylon chống nước, cực bền. Balo thời trang Nam	Hà Nội	1554692222	1609994498	55302276	True	41%	False	1	False	4.878788	31	1	0	1	0	None	None	26900000000	45900000000	26900000000	45900000000	26900000000	45900000000	None	127	329	33	True	True	9	0	66
Túi đeo chéo thời trang nam phong cách tiện dụng hợp với tất cả mọi người đi làm đi học tuổi teen hay dân buôn bán...	TP. Hồ Chí Minh	1603462254	1609994498	6532244	False	50%	False	2	False	5.0	11	0	0	0	0	None	None	7500000000	15000000000	7500000000	15000000000	7500000000	15000000000	None	1192	146	11	False	True	7	1	162
Balo Thời Trang Nam Cao Cấp Etonweag E9830 Chính Hãng Giá Rẻ	Hà Nội	1578285777	1609994498	31708721	False	21%	False	1	False	5.0	24	0	0	0	0	None	None	30000000000	37900000000	30000000000	37900000000	30000000000	37900000000	None	143	230	24	False	True	9	1	47
Túi đeo chéo nam, Túi da thời trang nam cao cấp cá tính, có dây và khe sạc điện thoại tiện dụng TDCN07 AA	TP. Hồ Chí Minh	1538452335	1609994498	71542163	True	36%	False	3	False	4.769231	23	2	0	0	1	None	None	6399900000	10000000000	6399900000	10000000000	6399900000	10000000000	None	27	84	26	False	True	9	1	75
Balo đi học hàn quốc balo thời trang nam công nghệ màu đen Combo tai nghe	Quảng Ninh	1530619754	1609994498	79374744	False	36%	False	6	False	4.757576	86	6	4	2	1	None	None	15900000000	24900000000	17900000000	26900000000	15900000000	24900000000	None	8117	61	99	False	True	5	0	331
Ví da nam cầm tay VARADO VD014  cao cấp thời trang	Hà Nội	1592645751	1609994498	17348747	False	23%	False	4	True	4.921875	61	2	0	1	0	None	None	19900000000	25900000000	19900000000	25900000000	19900000000	25900000000	None	1265	1572	64	False	True	9	1	222
[Trending] Túi đeo chéo nam nữ Unisex thời trang siêu nhẹ chống nước TC006	Hà Nội	1595522637	1609994498	14471861	True	45%	False	5	False	4.899213	590	34	7	1	4	None	None	9900000000	18000000000	9900000000	18000000000	9900000000	18000000000	None	335	15956	636	False	True	8	1	1683
Túi đeo chéo nam vải canvas, thiết kế 3 ngăn để đồ, phong cách thời trang Hàn Quốc TC92	Hà Nội	1600396873	1609994498	9597625	True	39%	False	3	False	4.872047	458	36	13	1	0	None	None	5429000000	8900000000	5429000000	8900000000	5429000000	8900000000	None	133	10398	508	True	False	9	1	1217
Balo Thời Trang Nam Nữ, Phong Cách Vintage, Chống Thấm Nước , Chống Ẩm Mốc	TP. Hồ Chí Minh	1582274061	1609994498	27720437	True	40%	False	15	False	4.970149	130	4	0	0	0	None	None	19800000000	32800000000	19800000000	32800000000	19800000000	32800000000	None	1141	6963	134	True	True	9	1	825
Ví Nam BOSTANTEN Dạng Da Phong Cách Thời Trang Màu Đen/Nâu	Nước ngoài	1562916279	1609994498	47078219	False	29%	False	2	True	4.934708	276	11	4	0	0	None	None	25000000000	35000000000	25000000000	35000000000	25000000000	35000000000	None	244	16094	291	False	True	9	0	593
[FREE SHIP] Balo Nam nữ thời trang Pado P462D đựng vừa laptop 15.6 kiểu dáng mới	TP. Hồ Chí Minh	1602845547	1609994498	7148951	False	34%	False	2	False	4.885496	238	19	4	1	0	None	None	9900000000	15000000000	9900000000	15000000000	9900000000	15000000000	None	4823	13323	262	False	False	9	0	623
[ẢNH THẬT + FREESHIP] Bóp Ví Nam Thời Trang Cao Cấp 01	Hà Nội	1587878713	1609994498	22115785	False	19%	False	3	False	4.972603	71	2	0	0	0	None	None	7400000000	9000000000	8900000000	11000000000	7400000000	9000000000	None	4289	1091	73	False	False	6	1	137
Ví da nam đẹp nhỏ gọn, phong cách thời trang CN3310	TP. Hồ Chí Minh	1606754193	1609994498	3240305	False	41%	False	2	False	4.866667	13	2	0	0	0	None	None	9500000000	16000000000	9500000000	16000000000	9500000000	16000000000	None	593	3414	15	False	False	6	0	120
Ví da nam cầm tay VARADO VD014D  cao cấp thời trang	Hà Nội	1598350984	1609994498	11643514	False	23%	False	1	True	4.933333	29	0	1	0	0	None	None	19900000000	25900000000	19900000000	25900000000	19900000000	25900000000	None	473	2030	30	False	True	6	0	158
[Ví chất] VÍ NAM THỜI TRANG DẬP HÌNH CÁ SẤU, cá tính, phong cách và đẳng cấp	Hà Nội	1543264696	1609994498	66729802	True	41%	False	2	False	4.741935	27	1	2	1	0	None	None	9900000000	16900000000	9900000000	16900000000	9900000000	16900000000	None	2025	130	31	True	True	8	0	64
Balo Bape Nam - Nữ đi học -  Balo Thời Trang Nam Phong Cách	Hà Nội	1557829879	1609994498	52164619	False	None	False	8	False	4.777778	16	1	0	1	0	None	None	29900000000	-1	29900000000	-1	29900000000	0	None	80	59	18	False	False	2	0	54
⚡SIÊU HOT⚡ Balo Thời Trang Nam Chống Nước Cao Cấp Đi Học Đi Làm Đựng Vừa Laptop 15.6 ich	TP. Hồ Chí Minh	1565194233	1609994498	44800265	False	39%	False	1	False	4.845238	73	9	2	0	0	None	None	25000000000	41150000000	25000000000	41150000000	25000000000	41150000000	None	12690	395	84	False	True	9	0	220
TKM Store - Túi Đeo Chéo Thời Trang Nam Phong Cách	TP. Hồ Chí Minh	1603461516	1609994498	6532982	False	50%	False	2	False	5.0	9	0	0	0	0	None	None	17500000000	35000000000	17500000000	35000000000	17500000000	35000000000	None	1201	99	9	False	True	7	1	182
Balo thời trang nam Hàn Quốc, Balo nam cao cấp đựng được nhiều quần áo	Hà Nội	1534741764	1609994498	75252734	False	34%	False	3	False	4.820896	121	8	1	2	2	None	None	23900000000	36000000000	23900000000	36000000000	23900000000	36000000000	None	1214	46	134	False	True	8	0	356
Balo thời trang nam đẹp Glado Daypack GDP003	TP. Hồ Chí Minh	1554782875	1609994498	55211623	False	None	False	1	False	4.852459	56	3	1	0	1	None	None	9900000000	-1	9900000000	-1	9900000000	0	None	34	79	61	False	True	8	0	132
Túi đeo chéo thời trang nam Glado Express GEX003	TP. Hồ Chí Minh	1554781504	1609994498	55212994	False	None	False	1	False	4.8	47	5	3	0	0	None	None	9900000000	-1	9900000000	-1	9900000000	0	None	33	58	55	False	True	5	0	101
TKM Store - Túi Đeo Chéo Thời Trang Nam Có Cổng Sạc USB Tiện Dụng	TP. Hồ Chí Minh	1603377954	1609994498	6616544	False	50%	False	2	False	4.928571	13	1	0	0	0	None	None	8500000000	17000000000	8500000000	17000000000	8500000000	17000000000	None	1188	31	14	False	True	5	1	164
Túi đeo chéo thời trang nam bằng vải polyester có cổng sạc USB cho điện thoại	Nước ngoài	1576670368	1609994498	33324130	True	44%	False	3	False	4.95	19	1	0	0	0	None	None	9990000000	17800000000	9990000000	17800000000	9990000000	17800000000	None	33	54	20	False	False	7	1	57
[Giá Sốc] Túi đeo chéo thời trang nam, da PU	Hà Nội	1535340760	1609994498	74653738	True	50%	False	2	False	4.929134	120	5	2	0	0	None	None	15500000000	31000000000	15500000000	31000000000	15500000000	31000000000	None	3952	68	127	True	True	9	0	224
Túi đeo chéo thời trang nam phong cách Hàn Quốc	Hà Nội	1503908175	1609994498	106086323	False	28%	False	4	False	4.581818	45	3	3	2	2	None	None	17900000000	25000000000	17900000000	25000000000	17900000000	25000000000	None	283	3	57	False	True	7	0	163
Túi Trống Đeo Chéo Thời Trang Nam Vải Dù Chống Nước Chống Nhăn Trơn	Hà Nội	1603256423	1609994498	6738075	False	30%	False	3	False	5.0	5	0	0	0	0	None	None	14000000000	20000000000	14000000000	20000000000	14000000000	20000000000	None	1315	6173	5	False	False	9	0	113
Thời Trang Nam, Túi Đeo Chéo Nam Da Bò Nhật Bảo Hành 12 Tháng CQT4 [ Tui Deo Nam]	Hà Nội	1597139836	1609994498	12854662	True	None	False	1	False	5.0	6	0	0	0	0	None	None	29900000000	-1	29900000000	-1	29900000000	0	None	23	389	6	True	False	8	0	717
Balo Nữ 💖FREESHIP💖 Balo Thời Trang Nam Vừa LAPTOP 15.6 Inch - Chất Vải Cao Cấp (BL-76)	Hà Nội	1587283723	1609994498	22710775	True	35%	False	2	False	5.0	20	0	0	0	0	None	None	18900000000	29000000000	18900000000	29000000000	18900000000	29000000000	None	29837	2393	20	False	True	9	1	429
Balo Laptop Thời Trang Nam Đẹp Cao Cấp Balo Máy Tính Nam Nhiều Ngăn Đơn Giản - TADIGIAY.COM	TP. Hồ Chí Minh	1604312100	1609994498	5682398	False	50%	False	4	False	5.0	1	0	0	0	0	None	None	39900000000	79800000000	39900000000	79800000000	39900000000	79800000000	None	2	36	1	False	False	7	0	3479
Combo Túi Đeo Chéo Đựng Ipad Và Thắt Lưng Thời Trang Nam	Ninh Bình	1488218766	1609994498	121775732	False	33%	False	1	False	4.352113	50	11	1	3	6	None	None	19900000000	29900000000	19900000000	29900000000	19900000000	29900000000	None	13870	28	129	False	True	6	0	161
Balo Laptop Thời Trang Nam Đi Học Làm Đơn Giản Ba Lô Máy Tính Nam Đẹp Thời Trang Cao Cấp - TADIGIAY.COM	TP. Hồ Chí Minh	1604310574	1609994498	5683924	False	50%	False	2	False	5.0	1	0	0	0	0	None	None	29900000000	59800000000	29900000000	59800000000	29900000000	59800000000	None	0	82	1	False	False	7	0	1376
Balo thời trang nam hàn quốc (ST399-X2)	Hà Nội	1497318177	1609994498	112676321	False	None	False	1	False	4.615385	20	4	1	0	1	None	None	25900000000	-1	25900000000	-1	25900000000	0	None	12170	8	29	False	True	6	0	123
Túi Balo Xách Du Lịch Đa Năng Balo Du Lịch Thời Trang Nam Phong Cách Hàn Quốc -  TADIGIAY.COM	TP. Hồ Chí Minh	1604373578	1609994498	5620920	False	50%	False	2	False	5.0	1	0	0	0	0	None	None	49900000000	99800000000	49900000000	99800000000	49900000000	99800000000	None	1	80	1	False	False	9	1	3768
[SALE HOT] Balo Thời trang Nam Đẹp - Balo chống nước, Đựng laptop cỡ vừa	Hà Nội	1605629122	1609994498	4365376	False	38%	False	1	False	5.0	5	0	0	0	0	None	None	32000000000	52000000000	32000000000	52000000000	32000000000	52000000000	None	1419	234	5	False	False	8	0	139
Balo thời trang nam 020	Hà Nội	1607657344	1609994498	2337154	False	None	False	1	False	0.0	0	0	0	0	0	None	None	45000000000	-1	45000000000	-1	45000000000	0	None	2	63	0	False	False	4	1	1
Túi đeo chéo IPad Hàn Quốc ❤️ Túi đeo chéo thời trang Nam đẹp ❤️ túi xách nam hàn quốc	Hà Nội	1594113586	1609994498	15880912	False	None	False	2	False	4.8	4	1	0	0	0	None	None	29000000000	-1	29000000000	-1	29000000000	0	None	8159	469	5	False	False	9	0	260
Thời trang nam - Ví Da Nam Clutch Pagini Da Bò Thật Cao Cấp - VID07 - TQVSTORE	Hà Nội	1609235121	1609994498	759377	False	None	False	2	False	0.0	0	0	0	0	0	None	None	75530000000	-1	75530000000	-1	75530000000	0	None	0	1	0	False	True	9	1	0
Túi ống tròn đeo chéo bằng da mềm thời trang nam	Nước ngoài	1588254473	1609994498	21740025	False	31%	False	1	False	0.0	0	0	0	0	0	None	None	38850000000	56150000000	38850000000	56150000000	38850000000	56150000000	None	0	12	0	False	False	9	0	0
Ví Da Bò Dáng Dài  Nhiều Ngăn Classic Màu Nâu Da Bóng - [Phụ kiện thời trang nam]	Đà Nẵng	1584516926	1609994498	25477572	False	17%	False	1	False	0.0	0	0	0	0	0	None	None	50000000000	60000000000	50000000000	60000000000	50000000000	60000000000	None	324	35	0	False	True	3	0	0
Balo thời trang nam 2020	Hà Nội	1596012609	1609994498	13981889	False	None	False	1	False	0.0	0	0	0	0	0	None	None	65000000000	-1	65000000000	-1	65000000000	0	None	0	0	0	False	False	3	0	0
Balo thời trang Nam ⛔️BIG SALE	TP. Hồ Chí Minh	1609387311	1609994498	607187	False	None	False	1	False	0.0	0	0	0	0	0	None	None	35000000000	-1	35000000000	-1	35000000000	0	None	0	19	0	False	False	4	0	0
Balo Đeo Chéo 1 Quai Thời Trang Nam - Chất Liệu vải Chống Nước KABE30	Hà Nội	1589017361	1609994498	20977137	False	34%	False	1	False	0.0	0	0	0	0	0	None	None	22900000000	34500000000	22900000000	34500000000	22900000000	34500000000	None	1241	50	0	False	True	8	1	1
Balo thời trang nam 018	Hà Nội	1607656298	1609994498	2338200	False	None	False	2	False	0.0	0	0	0	0	0	None	None	40000000000	-1	40000000000	-1	40000000000	0	None	2	140	0	False	False	9	1	1
[Da siêu bền] Túi da đeo chéo thời trang nam T6338	Hà Nội	1609141321	1609994498	853177	True	8%	False	1	False	0.0	0	0	0	0	0	None	None	23900000000	26000000000	23900000000	26000000000	23900000000	26000000000	None	0	13	0	False	False	1	0	0
Túi Đeo Chéo Thời Trang Nam	Hà Nội	1571667152	1609994498	38327346	False	None	False	1	False	5.0	2	0	0	0	0	None	None	15000000000	-1	15000000000	-1	15000000000	0	None	74	53	2	False	False	5	0	5
Thắt lưng da bện phối khóa thời trang nam	Nước ngoài	1590428817	1609994498	19565681	False	None	False	3	False	0.0	0	0	0	0	0	None	None	88810000000	-1	88810000000	-1	88810000000	0	None	0	1	0	False	False	9	0	0
Ví Ngắn Thời Trang Nam Có khuy bấm	Hà Nội	1584759345	1609994498	25235153	False	None	False	3	False	0.0	0	0	0	0	0	None	None	17500000000	-1	17500000000	-1	17500000000	0	None	2	3	0	False	False	8	0	0
Ví Thời Trang Nam Cầm Tay  Đẳng Cấp B.A.E.L.L.E.R.R.Y Âu Mỹ VIBAELLERRY02	TP. Hồ Chí Minh	1588523396	1609994498	21471102	False	None	False	2	False	0.0	0	0	0	0	0	None	None	7500000000	-1	7500000000	-1	7500000000	0	None	0	2	0	False	True	9	0	0
Balo thời trang nam	Hà Nội	1608784498	1609994498	1210000	False	None	False	1	False	0.0	0	0	0	0	0	None	None	45000000000	-1	45000000000	-1	45000000000	0	None	1	53	0	False	False	5	1	0
Balo Da Thời Trang Nam Phối Đinh Tán Bazan_shop BZ406	TP. Hồ Chí Minh	1557495053	1609994498	52499445	False	None	False	1	False	0.0	0	0	0	0	0	None	None	81200000000	-1	81200000000	-1	81200000000	0	None	3031	7	0	False	True	9	0	0
Balo nam đeo chéo phản quang 7 màu , mẫu túi thời trang nam siêu hot trong hè	Hà Nội	1582274514	1609994498	27719984	False	None	False	2	False	0.0	0	0	0	0	0	None	None	10500000000	-1	10500000000	-1	10500000000	0	None	0	5	0	False	False	6	0	0
Balo thời trang nam	TP. Hồ Chí Minh	1578630237	1609994498	31364261	False	None	False	1	False	5.0	1	0	0	0	0	None	None	68000000000	-1	68000000000	-1	68000000000	0	None	3	23	1	False	False	1	0	1
Balo Thời Trang Nam Da Cao Cấp VS419135	TP. Hồ Chí Minh	1574934468	1609994498	35060030	False	None	False	1	False	0.0	0	0	0	0	0	None	None	120000000000	-1	120000000000	-1	120000000000	0	None	0	1	0	False	False	8	0	0
Túi Xách Du Lịch Vải Bạt Thời Trang Nam	Nước ngoài	1602602763	1609994498	7391735	False	None	False	4	False	0.0	0	0	0	0	0	None	None	99740000000	-1	99740000000	-1	99740000000	0	None	0	4	0	False	False	9	0	0
Ba lô thời trang nam hàn quốc HARAS HR232	TP. Hồ Chí Minh	1572440375	1609994498	37554123	False	None	False	2	False	0.0	0	0	0	0	0	None	None	20000000000	-1	20000000000	-1	20000000000	0	None	4	1	0	False	False	9	0	0
Ví Nam Cao Cấp Thời Trang Da Bò 4U Đựng Tiền Và Đựng Thẻ Tiện Lợi FA240	TP. Hồ Chí Minh	1592292132	1609994498	17702366	False	13%	False	2	True	4.953608	374	12	1	0	1	None	None	16500000000	19000000000	16500000000	19000000000	16500000000	19000000000	None	132	9376	388	False	True	9	1	1231
